text,sentiment
 Enjoying a beautiful day at the park!              ,positive
 Traffic was terrible this morning.                 ,negative
 Just finished an amazing workout! 💪               ,positive
 Excited about the upcoming weekend getaway!        ,positive
 Trying out a new recipe for dinner tonight.        ,neutral
 Feeling grateful for the little things in life.    ,positive
 Rainy days call for cozy blankets and hot cocoa.   ,positive
 The new movie release is a must-watch!             ,positive
 Political discussions heating up on the timeline.  ,negative
 Missing summer vibes and beach days.               ,neutral
 Just published a new blog post. Check it out!      ,positive
 Feeling a bit under the weather today.             ,negative
 Exploring the city's hidden gems.                  ,positive
" New year, new fitness goals! 💪                    ",positive
 Technology is changing the way we live.            ,neutral
 Reflecting on the past and looking ahead.          ,positive
 Just adopted a cute furry friend! 🐾              ,positive
 Late-night gaming session with friends.            ,positive
 Attending a virtual conference on AI.              ,neutral
 Winter blues got me feeling low.                   ,negative
 Sipping coffee and enjoying a good book.           ,positive
 Exploring the world of virtual reality.            ,positive
 Productive day ticking off my to-do list.          ,positive
 Just finished a challenging workout routine.       ,positive
 Celebrating a milestone at work! 🎉               ,positive
 Sunday brunch with friends.                        ,positive
 Learning a new language for personal growth.       ,positive
 Quiet evening with a good book.                    ,positive
 Reflecting on the importance of mental health.     ,positive
 New painting in progress! 🎨                       ,positive
 Weekend road trip to explore scenic views.         ,positive
 Enjoying a cup of tea and watching the sunset.     ,positive
 Coding a new project with enthusiasm.              ,positive
 Feeling inspired after attending a workshop.       ,positive
 Winter sports day at the local park.               ,positive
 Quality time with family this weekend.             ,positive
 Attending a live music concert tonight.            ,positive
 Practicing mindfulness with meditation.            ,positive
 Trying out a new dessert recipe.                   ,positive
 Excited about the upcoming gaming tournament.      ,positive
 Planning a garden makeover for spring.             ,positive
 Celebrating a friend's birthday tonight! 🎂       ,positive
 Feeling accomplished after a productive day.       ,positive
 A cozy evening with a good movie.                 ,positive
 Exploring local art galleries this weekend.        ,positive
 New book release from my favorite author!          ,positive
 Attending a virtual reality meetup.                ,positive
 Reflecting on the beauty of nature.                ,positive
 Cooking a special dinner for loved ones.           ,positive
 Feeling optimistic about the week ahead.           ,positive
 Starting a new fitness challenge tomorrow! 💪     ,positive
 Sunday bike ride through scenic trails.           ,positive
 Can't believe the injustice happening in our society.,other
 Feeling a sense of fear after watching a thriller movie. ,fear
 Heartbroken after hearing the news about a natural disaster. ,other
 The state of the world's environment is just disgusting. ,disgust
 Pure happiness: celebrating a loved one's achievement! ,happy
 Laughter is the best medicine—enjoying a comedy show. ,happy
 Sharing love and positive vibes with everyone! ❤️      ,love
 An amusing incident brightened up my day!               ,happy
 Enjoying a quiet evening with a book and some tea.      ,other
 Admiring the beauty of nature during a peaceful hike.   ,admiration
 Sending affectionate vibes to all my followers!          ,love
 Experiencing awe at the breathtaking sunset.            ,awe
 Disappointed with the service at a local restaurant.    ,disappointment
 A surprise gift from a friend made my day!              ,surprise
 Finding acceptance in the midst of life's challenges.   ,acceptance
 Overflowing with adoration for my adorable pet! 🐾      ,other
 Anticipating a thrilling adventure in the coming weeks. ,anticipation
 A bitter experience turned into a valuable lesson.      ,bitter
 Finding calmness in the midst of a busy day.            ,calmness
 Confusion clouds my mind as I navigate through decisions.,confusion
 Excitement building up for the upcoming vacation!       ,excitement
 Kindness witnessed today restored my faith in humanity. ,kind
 Pride in achieving a personal milestone.               ,pride
 A moment of shame for not standing up against injustice. ,shame
 Fuming with anger after a heated argument.            ,other
 The fear of the unknown is keeping me up at night.    ,fear
 Heartfelt sadness after bidding farewell to a dear friend. ,other
 The state of corruption in our society is utterly disgusting. ,disgust
 Overflowing happiness: welcoming a new family member!  ,happy
 Laughter is the key to joy—attending a stand-up comedy show. ,happy
 Sending love to all my followers on this beautiful day! ❤️ ,love
 Amused by the antics of my pet—it's pure amusement!      ,happy
 Enjoying every moment of this trip—pure enjoyment!      ,other
 Admiring the dedication of volunteers at a local charity. ,admiration
 Sending affectionate vibes to friends and family.        ,love
 Awe-struck by the beauty of the night sky.               ,awe
 Disappointed with the lack of progress in a personal project. ,disappointment
 A surprise visit from an old friend brought tears of joy. ,surprise
 Embracing acceptance of life's ups and downs.           ,acceptance
 Overflowing adoration for a cute rescue puppy! 🐶       ,other
 Anticipating the release of a much-awaited movie.       ,anticipation
 Bitter experience at the customer service department.   ,bitter
 Finding calmness amidst the chaos of daily life.        ,calmness
 Confusion reigns as I try to make sense of recent events.,confusion
 Excitement building up for a surprise birthday party.   ,excitement
 Witnessed an act of kindness that made my day.          ,kind
 Pride in completing a challenging fitness challenge.    ,pride
 A moment of shame for not speaking up against injustice.,shame
 Reflecting on the beauty of diversity in our world.     ,acceptance
 Excitement for a quiet evening with a good book.        ,excitement
 Feeling bitter about the unfairness in the workplace.   ,bitter
 Calmness prevails as I practice mindfulness.            ,calmness
 Confusion surrounds me as I navigate through life's choices. ,confusion
 Excitement for a weekend road trip to explore new places. ,excitement
 Kindness witnessed today restores my faith in humanity.  ,kind
 Pride in accomplishing personal and professional goals.  ,pride
 Shame for not being true to my values in a difficult situation.,shame
" Revisiting old memories, feeling a sense of elation. ",elation
 The victory of our team brought euphoria to the city. ,happy
" Embracing the beauty of nature, a moment of contentment. ",calm
" Meditating by the serene lake, finding inner peace.   ",calm
 Overflowing with gratitude for life's blessings.      ,gratitude
" Hopeful for a brighter tomorrow, despite challenges.  ",hopeful
 Empowered to make a difference in my community.        ,empowerment
 Compassion in action: supporting a local charity event. ,compassion
" A moment of tenderness, connecting with loved ones.    ",tenderness
 Arousal of excitement as I await a special announcement.,arousal
 Enthusiastically diving into a new project.            ,enthusiasm
 Feeling a sense of fulfillment after reaching a milestone.,fulfillment
 Reverence for the beauty of a historic landmark.       ,reverence
 Elation after a surprise reunion with old friends.    ,elation
 The euphoria of a live music concert under the stars.  ,happy
 Contentment in the simplicity of a quiet Sunday.       ,calm
 Serenity found in the pages of a favorite book.        ,calm
 Gratitude for the support received during tough times. ,gratitude
 Hopeful about the possibilities of a new journey.      ,hopeful
 Empowerment through learning and personal growth.      ,empowerment
 Compassion towards those in need during the holidays.  ,compassion
 Tenderness in the warmth of a cozy winter evening.     ,tenderness
 Arousal of excitement for an upcoming adventure.       ,arousal
 Enthusiasm for a creative project in the making.       ,enthusiasm
 Fulfillment in completing a challenging workout routine.,fulfillment
 Reverence for the artistry displayed in a museum.      ,reverence
 Elation after achieving a personal goal.               ,elation
 Elation over discovering a hidden gem in the city.   ,elation
 The euphoria of a surprise birthday celebration.     ,happy
 Contentment in the simplicity of a home-cooked meal. ,calm
 Serenity found in the melody of a peaceful piano.    ,calm
 Gratitude for the supportive community around me.    ,gratitude
 Hopeful about the prospects of a new business venture.,hopeful
 Empowerment through mentoring and guiding others.    ,empowerment
 Compassion shown through acts of kindness in the community.,compassion
 Tenderness in a heartfelt message to a loved one.    ,tenderness
 Arousal of excitement before a much-awaited trip.    ,arousal
 Enthusiasm for a new artistic project in the works.  ,enthusiasm
 Feeling a sense of fulfillment after helping others. ,fulfillment
 Reverence for the historical significance of a landmark.,reverence
 Elation after achieving a fitness milestone.         ,elation
 The euphoria of a successful product launch.         ,happy
 Contentment in the embrace of a loved one.           ,calm
 Serenity found in the beauty of a sunset by the sea.  ,calm
 Gratitude for the small joys that each day brings.   ,gratitude
 Hopeful about the potential for personal growth.      ,hopeful
 Empowerment through learning a new skill.            ,empowerment
 Compassion in volunteering for a local charity.       ,compassion
 Tenderness in a quiet moment shared with a pet.      ,tenderness
 Arousal of excitement for an upcoming festival.       ,arousal
 Enthusiasm for a DIY home improvement project.       ,enthusiasm
 Fulfillment in completing a challenging puzzle.      ,fulfillment
 Reverence for the wonders of nature on a hiking trail.,reverence
 Elation after a surprise reunion with a childhood friend.,elation
 Suffering from despair after another setback.      ,sad
" Overwhelmed by grief, missing a loved one dearly.  ",sad
 Loneliness creeps in as the night grows colder.    ,sad
 Jealousy consumes me as I witness others' success. ,jealousy
 Resentment building up over past betrayals.        ,resentment
 Frustration mounts as obstacles block my path.     ,frustration
" Boredom sets in, the day feels endlessly dull.     ",boredom
" Anxiety grips my heart, worry clouds my thoughts.  ",fear
 Intimidation by the unknown future ahead.          ,fear
 Helplessness sinks in as challenges pile up.       ,other
 Envy eats away at me as I see others' prosperity.  ,jealousy
 Regret over missed opportunities haunts my thoughts.,regret
 Disgust at the sight of injustice and cruelty.     ,disgust
