hate,text,cleaned_text
0,haa jaise tum bhi abhi pxe2x80xa6,haa jaise tum bhi abhi pxexxa
2,banti hai empowered woman feminism pe gyan pelti hai aur din bhar roti rehti hai pahle rona band kar madarchod,banti hai empowered woman feminism pe gyan pelti hai aur din bhar roti rehti hai pahle rona band kar madarchod
2,rt    ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchod txe2x80xa6,rt ab usko chhod mjse bat kr tera baap aa gya hai ab ldki ko beech q la ra hai madarchod txexxa
2,punjab in madarchodon ko khila raha hai nokrian day raha hai aur yeh imran maxe2x80xa6,punjab madarchodon ko khila raha hai nokrian day raha hai aur yeh imran maxexxa
2,rt  agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka,rt agar koi bole ki ja ke chill maar madarchod ki gand maar lene ka
1,main jutt punjabi hoon aur paka n league madarchod imran ki punjab say nafrat clear hai,main jutt punjabi hoon aur paka n league madarchod imran ki punjab say nafrat clear hai
2,to bhosdike tere baap ka kya ja raha hai tu apna ghar dekh na madarchod,bhosdike tere baap ka kya ja raha hai tu apna ghar dekh na madarchod
2,sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchod neem ka patta kadva haixe2x80xa6,sunny leone bana ke chodegenteri maa konsamjh aaya nmadarchod neem ka patta kadva haixexxa
2,pata nahi aise sanghi kutte ko bhaxe2x80xa6,pata nahi aise sanghi kutte ko bhaxexxa
1,rt  screw the law of the land if i find this chutiya madarchod mulla i will lynch him murder him cut into millions of pieces and haxe2x80xa6,rt screw law land find chutiya madarchod mulla lynch murder cut millions pieces haxexxa
0,a boy donated blood to his gf nntwo months later they broke up nnboy mujhe mera khoon lauta de  nngirl throwxe2x80xa6,boy donated blood gf nntwo months later broke nnboy mujhe mera khoon lauta de nngirl throwxexxa
2,bc madarchod south africa england main  man of the match award le chukexe2x80xa6,bc madarchod south africa england main man match award le chukexexxa
2,madarchod congresi or bjp dono ki sarkar bani baad me  wade bhul gye rajasthan me hamri city tak singalxe2x80xa6,madarchod congresi bjp dono ki sarkar bani baad wade bhul gye rajasthan hamri city tak singalxexxa
2,madarchod socialify wale log xf0x9fx98xa1,madarchod socialify wale log xfxfxxa
2,madarchod kya hai yeh,madarchod kya hai yeh
2,1212 1323  sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchodn1212xe2x80xa6,sunny leone bana ke chodegenteri maa konsamjh aaya nmadarchodnxexxa
2,rt     kis madarchod ki he giri hui harkt,rt kis madarchod ki giri hui harkt
2,teri maa behan ko har rooj chood rahe hai tum khayal rakho warnna aise hi chudawati rahati hai madarchod,teri maa behan ko har rooj chood rahe hai tum khayal rakho warnna aise hi chudawati rahati hai madarchod
2,deewar superhit nai aaj ke time ke hisaab se atbb hai chutye dont compaxe2x80xa6,deewar superhit nai aaj ke time ke hisaab se atbb hai chutye dont compaxexxa
1,virat and anushkas future kidnnanushka mamma bolo beta mammaaaannkid mm ma maa madarchod,virat anushkas future kidnnanushka mamma bolo beta mammaaaannkid mm maa madarchod
1,madarchod brahmno se mafi mango,madarchod brahmno se mafi mango
2,suwar ke bache madar chodteri maa ki chut meghungru bajaunga madarchodbharxe2x80xa6,suwar ke bache madar chodteri maa ki chut meghungru bajaunga madarchodbharxexxa
2,fuck off chal bhag yahan se madarchod,fuck chal bhag yahan se madarchod
2,teri maa ko our ben ko chudva sale benchod  madarchodgabbar,teri maa ko ben ko chudva sale benchod madarchodgabbar
2,i have to say this madarchod   i created multiple accounts and you locked all accounts amp,say madarchod created multiple accounts locked accounts amp
2,ya bakrichod jyada ni uchal rhe h bhosdi vale madarchodnbawasir c shakal ki h yenand bhoktixe2x80xa6,ya bakrichod jyada ni uchal rhe h bhosdi vale madarchodnbawasir c shakal ki h yenand bhoktixexxa
2,kidhar chupe hai re madarchod peta wale gandu log,kidhar chupe hai madarchod peta wale gandu log
2,tu waha kya kar raha ha madarchod bahan k lode kaha comarision kar raha ha  tu kaha 1 no ka madarchodxe2x80xa6,tu waha kya kar raha ha madarchod bahan k lode kaha comarision kar raha ha tu kaha ka madarchodxexxa
2,madarchod maar dalo,madarchod maar dalo
2,isme embarassing kya hai bey madarchod ahmedabad commissioner has not given permission to hold a rallxe2x80xa6,isme embarassing kya hai bey madarchod ahmedabad commissioner given permission hold rallxexxa
1,madarchod musalman aaiysha aur wo hai,madarchod musalman aaiysha aur wo hai
2,madarchod randi ke bache gali kisko de rha haigand phar dunga bharvebhosrike aukat me reh,madarchod randi ke bache gali kisko de rha haigand phar dunga bharvebhosrike aukat reh
2,bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko,bollywoodians madarchod ye kai saalon se bata raha hoon main tum logon ko
2,cranko madarchod you unfollowed me tu dekh ab kya karta hun main,cranko madarchod unfollowed tu dekh ab kya karta hun main
1,teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod
2,rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fighter deal kyu nahi hue chuxe2x80xa6,rafel deal rafel deal rafel deal tum madarchod congressio ke raj mai fighter deal kyu nahi hue chuxexxa
2,saniya must say you are most madarchod randi on twittercum ki pyassiabtak na jane loundo nexe2x80xa6,saniya must say madarchod randi twittercum ki pyassiabtak na jane loundo nexexxa
1,i never donate to any madarchod hindu priests they are chors,never donate madarchod hindu priests chors
2,you madarchod in  screwed air india and still have audacity to question government kya khate ho aur kya sochte ho xe2x80xa6,madarchod screwed air india still audacity question government kya khate ho aur kya sochte ho xexxa
2,is madarchod sajid khan ko jayvijay se kya problem h  khud ko to kuch aata ni uski performance ko bekar bolta hxe2x80xa6,madarchod sajid khan ko jayvijay se kya problem h khud ko kuch aata ni uski performance ko bekar bolta hxexxa
2,teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwarandi ka aulaaad madarchod,teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwarandi ka aulaaad madarchod
2,ambani supporter madarchod mar ja,ambani supporter madarchod mar ja
2,bhadva madarchod bhakt,bhadva madarchod bhakt
2,ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchxe2x80xa6,ab usko chhod mjse bat kr tera baap aa gya hai ab ldki ko beech q la ra hai madarchxexxa
2,teri ammi k sath first inning virat khela tha tb tu paida hua aur tera abbu abhi us result ka gum mana rha h madarchod xf0x9fxa4xa3,teri ammi k sath first inning virat khela tha tb tu paida hua aur tera abbu abhi us result ka gum mana rha h madarchod xfxfxaxa
2,oh the madarchod liberal manjrekar retweeted bhadwa congress ka dalal,oh madarchod liberal manjrekar retweeted bhadwa congress ka dalal
2,madarchod jalta hai mujhse,madarchod jalta hai mujhse
2,modi madarchod hai na maa ko khara kar diya note ki line 96 yr old maa modi is harami chutiya pm,modi madarchod hai na maa ko khara kar diya note ki line yr old maa modi harami chutiya pm
2,teri ammi free ki raandi thi madarchod tu free ka thinker paida huwafree mey hi randi devil ko chodxe2x80xa6,teri ammi free ki raandi thi madarchod tu free ka thinker paida huwafree mey hi randi devil ko chodxexxa
2,kutte jite nahi madarchod dusro ko bhi nahi jeene deti,kutte jite nahi madarchod dusro ko bhi nahi jeene deti
2,teri maa ka bhosra bharve ki aulad madarchodaukat me rahe nahi gand phar dunga bharve,teri maa ka bhosra bharve ki aulad madarchodaukat rahe nahi gand phar dunga bharve
2,abe madarchod bhagode multi starrer ese to daava me b naseer ka equal rxe2x80xa6,abe madarchod bhagode multi starrer ese daava b naseer ka equal rxexxa
2,rt  madarchod kya chahta hai,rt madarchod kya chahta hai
2,kis madarchod ki he giri hui harkt,kis madarchod ki giri hui harkt
2,madarchod shilpa randi rona band kar,madarchod shilpa randi rona band kar
2,madarchod  bhenchod bsdk bhikhari jihadi porkistani xf0x9fx98x81xf0x9fx98x81xf0x9fx98x81 aab theek,madarchod bhenchod bsdk bhikhari jihadi porkistani xfxfxxxfxfxxxfxfxx aab theek
2,abe chup chutye ye to congress bhi kar sakti thi  madarchod ahmedabad me aake marunga apna kam kar,abe chup chutye ye congress bhi kar sakti thi madarchod ahmedabad aake marunga apna kam kar
2,bhag madarchod,bhag madarchod
1,bhak machod mullo ke abbu       xe2x80xa6,bhak machod mullo ke abbu xexxa
1,bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke txe2x80xa6,bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke txexxa
2,madarchod why did your mom meet  in gb road and get screwed by her,madarchod mom meet gb road get screwed
