text,sentiment,cleaned_text
 Enjoying a beautiful day at the park!              ,positive,enjoying beautiful day park
 Traffic was terrible this morning.                 ,negative,traffic terrible morning
 Just finished an amazing workout! 💪               ,positive,finished amazing workout
 Excited about the upcoming weekend getaway!        ,positive,excited upcoming weekend getaway
 Trying out a new recipe for dinner tonight.        ,neutral,trying new recipe dinner tonight
 Feeling grateful for the little things in life.    ,positive,feeling grateful little things life
 Rainy days call for cozy blankets and hot cocoa.   ,positive,rainy days call cozy blankets hot cocoa
 The new movie release is a must-watch!             ,positive,new movie release mustwatch
 Political discussions heating up on the timeline.  ,negative,political discussions heating timeline
 Missing summer vibes and beach days.               ,neutral,missing summer vibes beach days
 Just published a new blog post. Check it out!      ,positive,published new blog post check
 Feeling a bit under the weather today.             ,negative,feeling bit weather today
 Exploring the city's hidden gems.                  ,positive,exploring citys hidden gems
" New year, new fitness goals! 💪                    ",positive,new year new fitness goals
 Technology is changing the way we live.            ,neutral,technology changing way live
 Reflecting on the past and looking ahead.          ,positive,reflecting past looking ahead
 Just adopted a cute furry friend! 🐾              ,positive,adopted cute furry friend
 Late-night gaming session with friends.            ,positive,latenight gaming session friends
 Attending a virtual conference on AI.              ,neutral,attending virtual conference ai
 Winter blues got me feeling low.                   ,negative,winter blues got feeling low
 Sipping coffee and enjoying a good book.           ,positive,sipping coffee enjoying good book
 Exploring the world of virtual reality.            ,positive,exploring world virtual reality
 Productive day ticking off my to-do list.          ,positive,productive day ticking todo list
 Just finished a challenging workout routine.       ,positive,finished challenging workout routine
 Celebrating a milestone at work! 🎉               ,positive,celebrating milestone work
 Sunday brunch with friends.                        ,positive,sunday brunch friends
 Learning a new language for personal growth.       ,positive,learning new language personal growth
 Quiet evening with a good book.                    ,positive,quiet evening good book
 Reflecting on the importance of mental health.     ,positive,reflecting importance mental health
 New painting in progress! 🎨                       ,positive,new painting progress
 Weekend road trip to explore scenic views.         ,positive,weekend road trip explore scenic views
 Enjoying a cup of tea and watching the sunset.     ,positive,enjoying cup tea watching sunset
 Coding a new project with enthusiasm.              ,positive,coding new project enthusiasm
 Feeling inspired after attending a workshop.       ,positive,feeling inspired attending workshop
 Winter sports day at the local park.               ,positive,winter sports day local park
 Quality time with family this weekend.             ,positive,quality time family weekend
 Attending a live music concert tonight.            ,positive,attending live music concert tonight
 Practicing mindfulness with meditation.            ,positive,practicing mindfulness meditation
 Trying out a new dessert recipe.                   ,positive,trying new dessert recipe
 Excited about the upcoming gaming tournament.      ,positive,excited upcoming gaming tournament
 Planning a garden makeover for spring.             ,positive,planning garden makeover spring
 Celebrating a friend's birthday tonight! 🎂       ,positive,celebrating friends birthday tonight
