Unique ID,Post,Labels Set,cleaned_text
1,कस क क रजगर चहए फर नह कहन रजगर नह मलत ह 20 करड क रजगर द दय ह वह भ मतर 6 सल म चर सल अभ बक ह और हर सल द करड रजगर दन क ह वद थ 10 सल म दन थ 20 करड क लग क रजगर ज मतर 6 सल म लकषय क परपत करन वल पहल सरकर ह,"defamation,fake,offensive",कस क क रजगर चहए फर नह कहन रजगर नह मलत ह करड क रजगर द दय ह वह भ मतर सल म चर सल अभ बक ह हर सल द करड रजगर दन क ह वद थ सल म दन थ करड क लग क रजगर ज मतर सल म लकषय क परपत करन वल पहल सरकर ह
2,"पटन BMP कप म परष और महल कसटबल न गल मरकर क खदकश जच म जट पलस

 क रपरट

",non-hostile,पटन कप म परष महल कसटबल न गल मरकर क खदकश जच म जट पलस क रपरट
3,"कई भ कगरस ऊच छत पर रलव लइन पर ऊच बलडग पर एकत जगह पर कए क पस दखई द तरत पलस क सचत कर

वलपत हत हई परजतय क बचन हमर फरज ह",hate,कई भ कगरस ऊच छत रलव लइन ऊच बलडग एकत जगह कए क पस दखई द तरत पलस क सचत वलपत हत हई परजतय क बचन हमर फरज ह
4,"अडरवरलड डन छट रजन क भई क बजप दवर टकट मल ह

",fake,अडरवरलड डन छट रजन क भई क बजप दवर टकट मल ह
5,"RT  इन पचर छप क कन समझए क उनक रजगर म कम क करण मद नह 

टयब लस टयर ह",defamation,इन पचर छप क कन समझए क उनक रजगर म कम क करण मद नह टयब लस टयर ह
6,"पशचम बगल म फर हई मओवदय क वपस हल ह म हई घटनए इसक परमण ह  
Maoist WestBengal 
",non-hostile,पशचम बगल म फर हई मओवदय क वपस हल ह म हई घटनए इसक परमण ह
7,"Breakingकगन ममल पर बल मनज तवरकह धमक मलन क बद ह सरकष द गई
Sushantsinghcase Kangana ",non-hostile,कगन ममल बल मनज तवरकह धमक मलन क बद ह सरकष द गई
8,"  अचछ कय सल क सर फड दय गरदन तड दत त और भ अचछ हत
सल क पत चल गय हग हदसत",offensive,अचछ कय सल क सर फड दय गरदन तड दत त भ अचछ हत सल क पत चल गय हग हदसत
9,"हदरबद बजप वधयक रज सह क बहन मय दव न इसलम सवकर कर लय  उनहन कह क भरत एक लकततरक दश ह जह धरम चनन हमर वयकतगत अधकर ह कई भ मजबर नह कर सकत ह 
",fake,हदरबद बजप वधयक रज सह क बहन मय दव न इसलम सवकर लय उनहन कह क भरत लकततरक दश ह जह धरम चनन हमर वयकतगत अधकर ह कई भ मजबर नह सकत ह
10,"कमलनथ क रज म 100 म 100यनट बजल मल रह थ
अब आए चर शवरज ज बजल क बल क 500स 1000 तक कर दय","defamation,fake,hate",कमलनथ क रज म म यनट बजल मल रह थ अब आए चर शवरज ज बजल क बल क स दय
11,दऊद इबरहम और उसक पतन क करन सकरमण स मत,fake,दऊद इबरहम उसक पतन क करन सकरमण स मत
12,"मद ज न कई ऐस कम नह कय जसस करस बच रह 

 लकन हर व कम कय और कर रह ह जसस दश बच रह
जय शर रम",hate,मद ज न कई ऐस कम नह कय जसस करस बच रह लकन हर व कम कय रह ह जसस दश बच रह जय शर रम
13,Lucknow टरक क टककर स 2 लग घयल महल क मत2 यवक गभर घयल घयल क टरम सटर म करय भरत टरक चलक क सथनय लग न पकड टरक चलक क पलस क हवल कय मडयव क छठमल सतपर रड क घटन   HappyTeachersDay policemedianews,non-hostile,टरक क टककर स लग घयल महल क मत यवक गभर घयल घयल क टरम सटर म करय भरत टरक चलक क सथनय लग न पकड टरक चलक क पलस क हवल कय मडयव क छठमल सतपर रड क घटन
14,  मद दशदरह चर क औलद चन क  हथ दश बच दग यह चर लटर अगरज क नजयज सतन,"defamation,hate,offensive",मद दशदरह चर क औलद चन क हथ दश बच दग चर लटर अगरज क नजयज सतन
